Name,Data Type,Logical Address,
DIW0,Word,%IW0,
I_Enc_SyncVR_A,Bool,%I0.0,[1]固定式編碼轉輪-ENC-A
I_Enc_SyncVR_B,Bool,%I0.1,[1]固定式編碼轉輪-ENC-B
I_Enc_Length,Bool,%I0.2,[2]輪式計尺 ( FOTEK PS-05N )
I_PB_EStop_MainOP,Bool,%I1.0,主操作緊急停止按鈕(a接點)
I_EStop,Bool,%I1.5,急停模組檢出(備用)
DIW2,Word,%IW2,
I_PB_Ex1_Inc,Bool,%I2.0,75EX加速(Main OP)
I_PB_Ex1_Dec,Bool,%I2.1,75EX減速(Main OP)
I_F_Ex1_Mtr_OvrHt,Bool,%I2.2,75EX馬達超溫
I_F_Ex1_MtrFan_OvrLd,Bool,%I2.3,75EX馬達風扇過載
I_F_Ex1_DrvFlt,Bool,%I2.4,75EX控制器故障(Danfoss DO1)
I_PB_Cap_Inc,Bool,%I3.0,雙輪引取加速(Main OP)
I_PB_Cap_Dec,Bool,%I3.1,雙輪引取減速(Main OP)
I_F_Cap_Mtr_OvrHt,Bool,%I3.2,雙輪馬達超溫(舊有設備)
I_F_Cap_MtrFan_OvrLd,Bool,%I3.3,雙輪馬達風扇過載(舊有設備)
I_F_Cap_DrvFlt,Bool,%I3.4,雙輪控制器故障(舊有設備)
I_F_cat_door_lock,Bool,%I3.7,
DIW4,Word,%IW4,
I_PB_Ex2_Inc,Bool,%I4.0,60EX加速(Main OP)
I_PB_Ex2_Dec,Bool,%I4.1,60EX減速(Main OP)
I_F_Ex2_Mtr_OvrHt,Bool,%I4.2,60EX馬達超溫(舊有設備)
I_F_Ex2_MtrFan_OvrLd,Bool,%I4.3,60EX馬達風扇過載(舊有設備)
I_F_Ex2_DrvFlt,Bool,%I4.4,60EX控制器故障(舊有設備)
I_F_Spark_HF,Bool,%I5.7,高頻火花機檢出(冷水槽出口)
DIW6,Word,%IW6,
I_PB_Start,Bool,%I6.0,全線啟動按鈕
I_PB_Stop,Bool,%I6.1,全線停止按鈕
I_PB_Bell,Bool,%I6.2,電鈴按鈕
I_PB_Reset,Bool,%I6.3,故障復歸按鈕
I_S_Takupe_Run,Bool,%I7.0,1250MM雙軸運轉(PMC-539)(備用)
I_S_Takeup_Stop,Bool,%I7.1,1250MM雙軸停機(PMC-539)(備用)
I_S_Takeup_ChgOvr,Bool,%I7.2,1250MM雙軸預尺降速(PMC-539)(備用)
I_S_Taekup_EStop,Bool,%I7.3,1250MM雙軸急停(PMC-539)(備用)
In_Spark_PayOff_Wbk,Bool,%I7.4,
I_F_dancer_low,Bool,%I7.5,
I_F_ES_spooler,Bool,%I7.6,
I_F_Payoff_Wire_Break,Bool,%I7.7,斷線檢出(雙筒給線)
DIW20,Word,%IW20,
I_TC1_F_CoolFan_1,Bool,%I20.0,ZONE-1冷卻故障
I_TC1_F_CoolFan_2,Bool,%I20.1,ZONE-2冷卻故障
I_TC1_F_CoolFan_3,Bool,%I20.2,ZONE-3冷卻故障
I_TC1_F_CoolFan_4,Bool,%I20.3,ZONE-4冷卻故障
I_TC1_MissingMaterial,Bool,%I20.6,光照低料位檢出
I_TC1_LubFlow,Bool,%I20.7,流量閥檢出
DIW30,Word,%IW30,
I_TC2_MissingMaterial,Bool,%I30.6,低料位檢出
I_TC2_LubFlow,Bool,%I30.7,流量閥檢出
DQW0,Word,%QW0,
Q_Ex1_Run,Bool,%Q0.0,120EX運轉
Q_Ex2_Run,Bool,%Q0.2,60EX運轉(舊有設備)
Q_Cap_Run,Bool,%Q0.4,雙輪(運轉/油幫浦/放煞車)(舊有設備)
Q_Cap_Brake,Bool,%Q0.5,雙輪引取煞車(RLY)(通電放煞車)
In_spark_enable,Bool,%Q0.6,
Q_Cooling_Fan,Bool,%Q1.1,冷卻風扇(RLY)
DQW2,Word,%QW2,
Q_Lamp_Run,Bool,%Q2.0,運轉燈(塔燈)+運轉燈(Main OP)
Q_Lamp_Stop,Bool,%Q2.1,停止燈(塔燈)+停止燈(Main OP)
Q_Lamp_Error,Bool,%Q2.2,故障燈(塔燈)
Q_Lamp_Alarm,Bool,%Q2.3,復歸燈(Main OP)
cat_door_open,Bool,%Q2.4,
Q_Bell,Bool,%Q2.5,押出電鈴輸出(RLY)
Q_Reset,Bool,%Q2.6,故障復歸(RLY)
Q_Missing_Material,Bool,%Q2.7,缺料警報(RLY)
Q_Vacuum,Bool,%Q3.0,真空幫浦(RLY)
Q_caterpillar,Bool,%Q3.1,
Q_Air_blower,Bool,%Q3.2,吹氣電磁閥(RLY)
Q_ES_relay,Bool,%Q3.3,
Q_dancer_low_disable,Bool,%Q3.4,
Q_Spark_HF,Bool,%Q3.5,高頻火花機啟動(RLY)
Q_EStop_Reset,Bool,%Q3.6,急停模組復歸(RLY)(備用)
Q_EStop_Out,Bool,%Q3.7,安全急停輸出(RLY)(備用)
DQW4,Word,%QW4,
Q_Mixer_1_Run,Bool,%Q5.0,75EX色料機L.H啟動(RLY)
Q_Mixer_1_valve,Bool,%Q5.1,75EX色料機L.H寸動(RLY)(備用)
Q_Mixer_2_Run,Bool,%Q5.2,75EX色料機R.H啟動(RLY)
Q_Mixer_2_valve,Bool,%Q5.3,75EX色料機R.H寸動(RLY)(備用)
Q_Mixer_3_Run,Bool,%Q5.4,60EX色料機L.H啟動(RLY)
Q_Mixer_3_valve,Bool,%Q5.5,60EX色料機L.H寸動(RLY)(備用)
Q_Mixer_4_Run,Bool,%Q5.6,60EX色料機R.H啟動(RLY)
Q_Mixer_4_valve,Bool,%Q5.7,60EX色料機R.H寸動(RLY)(備用)
DQW20,Word,%QW20,
Q_TC1_H_Zone_1,Bool,%Q20.0,ZONE-1加熱(2.4KW)
Q_TC1_H_Zone_2,Bool,%Q20.1,ZONE-2加熱(2.4KW)
Q_TC1_H_Zone_3,Bool,%Q20.2,ZONE-3加熱(2.4KW)
Q_TC1_H_Zone_4,Bool,%Q20.3,ZONE-4加熱(2.4KW)
Q_TC1_H_Neck,Bool,%Q20.4,NECK頸部加熱(?W)
Q_TC1_H_Head,Bool,%Q20.5,HEAD機頭加熱(?KW)
Q_TC1_H_Die,Bool,%Q20.6,DIE眼模加熱(?KW)
Q_TC1_C_Zone_1,Bool,%Q21.0,ZONE-1冷卻(MC)
Q_TC1_C_Zone_2,Bool,%Q21.1,ZONE-2冷卻(MC)
Q_TC1_C_Zone_3,Bool,%Q21.2,ZONE-3冷卻(MC)
Q_TC1_C_Zone_4,Bool,%Q21.3,ZONE-4冷卻(MC)
Q_Mx1L_DoorShut,Bool,%Q21.6,75EX色料機L.H電磁閥(RLY)
Q_Mx1R_DoorShut,Bool,%Q21.7,75EX色料機R.H電磁閥(RLY)
DQW30,Word,%QW30,
Q_TC2_H_Zone_1,Bool,%Q30.0,ZONE-1加熱(RLY)
Q_TC2_H_Zone_2,Bool,%Q30.1,ZONE-2加熱(RLY)
Q_TC2_H_Zone_3,Bool,%Q30.2,ZONE-3加熱(RLY)
Q_TC2_H_Neck,Bool,%Q30.4,頸部加熱(RLY)
Q_TC2_H_Head,Bool,%Q30.5,機頭加熱(RLY)
Q_TC2_H_Die,Bool,%Q30.6,眼模加熱(RLY)
Q_TC2_C_Zone_1,Bool,%Q31.0,ZONE-1冷卻(RLY)
Q_TC2_C_Zone_2,Bool,%Q31.1,ZONE-2冷卻(RLY)
Q_TC2_C_Zone_3,Bool,%Q31.2,ZONE-3冷卻(RLY)
Q_Mx2L_DoorShut,Bool,%Q31.6,60EX色料機L.H電磁閥(RLY)
Q_Mx2R_DoorShut,Bool,%Q31.7,60EX色料機R.H電磁閥(RLY)
AQ_Ex1_Ref,Int,%QW68,75EX速度命令輸出
AQ_Ex2_Ref,Int,%QW70,60EX速度命令輸出
AQ_Cap_Ref,Int,%QW72,雙輪速度命令輸出
AQ_Mixer_1,Int,%QW76,75EX色料機L.H速度設定
AQ_Mixer_2,Int,%QW78,75EX色料機R.H速度設定
AQ_Mixer_3,Int,%QW80,60EX色料機L.H速度設定
AQ_Mixer_4,Int,%QW82,60EX色料機R.H速度設定
EErr__w0,Word,%MW200,
EErr_Cap_DrvFault,Bool,%M200.0,
EErr_EStop,Bool,%M200.1,
EErr_Takeup_EStop,Bool,%M200.2,
EErr_cat_door_open,Bool,%M200.3,
EErr_Spooler_ES,Bool,%M200.4,
EErr_dancer_low,Bool,%M200.5,
EErr_InSpark_PayOffBrk,Bool,%M200.6,
EErr__w1,Word,%MW202,
NErr__w0,Word,%MW204,
NErr_Cap_MtrOvrHt,Bool,%M204.0,
NErr_Ex1_CoolingFan_Overload,Bool,%M204.1,
NErr_Ex1_LubFlow_Low,Bool,%M204.2,
NErr_Ex1_Mtr_OvrHt,Bool,%M204.3,
NErr_Ex1_MtrFan_OvrLd,Bool,%M204.4,
NErr_Ex2_LubFlow_Low,Bool,%M204.5,
NErr_Ex2_Mtr_OvrHt,Bool,%M204.6,
NErr_Ex2_MtrFan_OvrLd,Bool,%M204.7,
NErr_Takeup_Stop,Bool,%M205.0,
NErr_TC1_Cold,Bool,%M205.1,
NErr_TC2_Cold,Bool,%M205.2,
NErr__w1,Word,%MW206,
QErr__w0,Word,%MW208,
QErr_Ex1_DrvFault,Bool,%M208.0,
QErr_Ex2_DrvFault,Bool,%M208.1,
QErr_PY_WireBroken,Bool,%M208.2,
AErr__w0,Word,%MW210,
AErr_Cap_MtrFanOvrLd,Bool,%M210.0,
AErr_Dia1_Over,Bool,%M210.1,
AErr_Dia1_Under,Bool,%M210.2,
AErr_Ex1_Missing_Material,Bool,%M210.3,
AErr_Ex1_Zone1_Blower_Trip,Bool,%M210.4,
AErr_Ex1_Zone2_Blower_Trip,Bool,%M210.5,
AErr_Ex1_Zone3_Blower_Trip,Bool,%M210.6,
AErr_Ex1_Zone4_Blower_Trip,Bool,%M210.7,
AErr_Ex2_Missing_Material,Bool,%M211.0,
AErr_Spark_HF,Bool,%M211.1,
AErr_Spark_LF,Bool,%M211.2,
AErr_TC1_Error,Bool,%M211.3,
AErr_TC1_High,Bool,%M211.4,
AErr_TC1_Low,Bool,%M211.5,
AErr_TC1_Over,Bool,%M211.6,
AErr_TC1_Under,Bool,%M211.7,
AErr__w1,Word,%MW212,
AErr_TC1_Warn,Bool,%M212.0,
AErr_TC2_Error,Bool,%M212.1,
AErr_TC2_High,Bool,%M212.2,
AErr_TC2_Low,Bool,%M212.3,
AErr_TC2_Over,Bool,%M212.4,
AErr_TC2_Under,Bool,%M212.5,
AErr_TC2_Warn,Bool,%M212.6,
AErr_Dancer_Low,Bool,%M212.7,
Status__w0,Word,%MW214,
Status_Finished,Bool,%M214.0,
Status_Finishing,Bool,%M214.1,
Status_Takeup_ChgOvr,Bool,%M214.2,
Status_Takeup_Run,Bool,%M214.3,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,